name,category
Penicillin,Drug
Amoxicillin,Drug
Ampicillin,Drug
Amoxicillin-Clavulanate,Drug
Cephalexin,Drug
Ceftriaxone,Drug
Cefazolin,Drug
Cefuroxime,Drug
Cefdinir,Drug
Cefepime,Drug
Azithromycin,Drug
Erythromycin,Drug
Clarithromycin,Drug
Ciprofloxacin,Drug
Levofloxacin,Drug
Moxifloxacin,Drug
Sulfamethoxazole-Trimethoprim,Drug
Sulfonamides,Drug
Doxycycline,Drug
Minocycline,Drug
Tetracycline,Drug
Nitrofurantoin,Drug
Metronidazole,Drug
Clindamycin,Drug
Vancomycin,Drug
Gentamicin,Drug
Tobramycin,Drug
Amikacin,Drug
Ibuprofen,Drug
Naproxen,Drug
Diclofenac,Drug
Ketorolac,Drug
Meloxicam,Drug
Piroxicam,Drug
Indomethacin,Drug
Celecoxib,Drug
Aspirin,Drug
Acetaminophen,Drug
Codeine,Drug
Morphine,Drug
Oxycodone,Drug
Hydrocodone,Drug
Fentanyl,Drug
Tramadol,Drug
Meperidine,Drug
Lidocaine,Drug
Bupivacaine,Drug
Procaine,Drug
Propofol,Drug
Ketamine,Drug
Midazolam,Drug
Succinylcholine,Drug
Rocuronium,Drug
Vecuronium,Drug
Iodine Contrast Media,Drug
Gadolinium,Drug
Barium Sulfate,Drug
Carboplatin,Drug
Cisplatin,Drug
Paclitaxel,Drug
Docetaxel,Drug
Methotrexate,Drug
Rituximab,Drug
Trastuzumab,Drug
Infliximab,Drug
Adalimumab,Drug
Etanercept,Drug
Allopurinol,Drug
Febuxostat,Drug
Carbamazepine,Drug
Phenytoin,Drug
Lamotrigine,Drug
Valproic Acid,Drug
Phenobarbital,Drug
Lisinopril,Drug
Enalapril,Drug
Captopril,Drug
Losartan,Drug
Valsartan,Drug
Amlodipine,Drug
Metoprolol,Drug
Atenolol,Drug
Propranolol,Drug
Omeprazole,Drug
Pantoprazole,Drug
Ranitidine,Drug
Famotidine,Drug
Metoclopramide,Drug
Ondansetron,Drug
Promethazine,Drug
Prednisone,Drug
Methylprednisolone,Drug
Hydrocortisone,Drug
Dexamethasone,Drug
Fluticasone,Drug
Insulin Glargine,Drug
Insulin Lispro,Drug
Metformin,Drug
Glimepiride,Drug
Sitagliptin,Drug
Empagliflozin,Drug
Warfarin,Drug
Heparin,Drug
Enoxaparin,Drug
Clopidogrel,Drug
Alteplase,Drug
Bacitracin,Drug
