Drugname,Price,Search Query,Date,Price_prev,Price Changed,Form,Company,Region,Category
AA,1,AA,2024-10-07 15:47:11,1.0,True,Ointment,MediHealth,Asia,Painkiller
AALEXOLYTE SYRUP,1,AA,2024-10-07 15:47:11,1.0,True,Capsule,BioTech,Europe,Vitamin
AARTHROFAST 150 MG 14 MR TAB.,1,AA,2024-10-07 15:47:11,1.0,True,Tablet,CureWell,Asia,Antifungal
AASSDD,1,AA,2024-10-07 15:47:11,1.0,True,Tablet,MedGen,Africa,Antibiotic
AAZHA CREAM 75ML,1,AA,2024-10-07 15:47:11,1.0,True,Syrup,BioTech,Middle East,Antiviral
AB SLIM PLUS DOUBLE ACTION DROPS,1,AB,2024-10-07 15:47:22,1.0,True,Tablet,MedGen,Europe,Antiviral
AB1 SYRUP 120ML,1,AB,2024-10-07 15:47:22,1.0,True,Capsule,MedGen,Middle East,Antibiotic
ABA MOIST CREAM,1,AB,2024-10-07 15:47:22,1.0,True,Syrup,MediHealth,Middle East,Vitamin
ABAAAN M.WASH,2,AB,2024-10-07 15:47:22,2.0,True,Ointment,CureWell,Middle East,Antifungal
ABBO-,1,AB,2024-10-07 15:47:22,,True,Syrup,MediHealth,Europe,Vitamin
ABC IMMUNE 10 SACHETS,2,AB,2024-10-07 15:47:22,1.0,True,Ointment,MediHealth,North America,Antibiotic
ABC MOCOTIVE TOPICAL SPRAY 70 ML,1,AB,2024-10-07 15:47:22,1.0,True,Capsule,BioTech,North America,Vitamin
ABC MOCOTIVE TOPICAL SPRAY 70 ML,1,AB,2024-10-07 15:47:22,1.0,True,Tablet,MediHealth,Middle East,Painkiller
ABC MOCOTIVE TOPICAL SPRAY 70 ML,1,AB,2024-10-07 15:47:22,1.0,True,Tablet,MedGen,Asia,Antifungal
ABC MOCOTIVE TOPICAL SPRAY 70 ML,1,AB,2024-10-07 15:47:22,1.0,True,Capsule,MedGen,North America,Antibiotic
ABC OMEGA 3-6-9 SYRUP 60 ML,1,AB,2024-10-07 15:47:22,1.0,True,Injection,MediHealth,Asia,Vitamin
ABC SPRAY 70ML,1,AB,2024-10-07 15:47:22,1.0,True,Syrup,BioTech,Asia,Antifungal
ABC WHITE CREAM,1,AB,2024-10-07 15:47:22,1.0,True,Capsule,PharmaCorp,Africa,Antifungal
ABDOMINAL BELT,1,AB,2024-10-07 15:47:22,1.0,True,Ointment,MediHealth,Africa,Vitamin
ABDOMINAL BELT L,1,AB,2024-10-07 15:47:22,1.0,True,Capsule,MediHealth,Africa,Antiviral
ABDOMINAL BELT M,1,AB,2024-10-07 15:47:22,1.0,True,Injection,BioTech,Middle East,Antiviral
ABDOMINAL CORSET,1,AB,2024-10-07 15:47:22,1.0,True,Injection,BioTech,Africa,Antiviral
ABEVEMY 100MG/4ML CONC. VIAL FOR I.V. INF.,1,AB,2024-10-07 15:47:22,1.0,True,Syrup,MediHealth,Africa,Vitamin
ABEVEMY 400MG/16ML CONC. VIAL FOR I.V. INF.,1,AB,2024-10-07 15:47:22,1.0,True,Capsule,MedGen,North America,Antibiotic
ABILAXINE 5 MG 20TAB.,1,AB,2024-10-07 15:47:22,1.0,True,Tablet,CureWell,Europe,Antibiotic
ABILIA 15MG F.C. TAB.,1,AB,2024-10-07 15:47:22,1.0,True,Tablet,MedGen,Asia,Painkiller
ABILIFY 10MG 10 DISCMELT ORALLY DIS.,1,AB,2024-10-07 15:47:22,1.0,True,Injection,CureWell,Africa,Painkiller
ABILIFY 10MG 10 TAB.,1,AB,2024-10-07 15:47:22,1.0,True,Capsule,PharmaCorp,Africa,Vitamin
ABILIFY 10MG 10 TAB.,1,AB,2024-10-07 15:47:22,4.0,True,Ointment,BioTech,Europe,Antibiotic
ABILIFY 10MG 10 TAB.,1,AB,2024-10-07 15:47:22,1.0,True,Injection,MediHealth,Asia,Vitamin
ABILIFY 10MG 10 TAB.,4,AB,2024-10-07 15:47:22,1.0,True,Injection,MediHealth,Middle East,Antiviral
ABILIFY 10MG 10 TAB.,4,AB,2024-10-07 15:47:22,4.0,True,Tablet,CureWell,North America,Antiviral
ABILIFY 10MG 10 TAB.,4,AB,2024-10-07 15:47:22,1.0,True,Ointment,PharmaCorp,Europe,Antiviral
ABILIFY 10MG 10 TAB.,1,AB,2024-10-07 15:47:22,1.0,True,Syrup,BioTech,Europe,Vitamin
ABILIFY 10MG 10 TAB.,1,AB,2024-10-07 15:47:22,4.0,True,Ointment,CureWell,North America,Antibiotic
ABILIFY 10MG 10 TAB.,1,AB,2024-10-07 15:47:22,1.0,True,Capsule,CureWell,Europe,Painkiller
ABILIFY 10MG TAB.,3,AB,2024-10-07 15:47:22,3.0,True,Capsule,MediHealth,Middle East,Antifungal
ABILIFY 10MG TAB.,3,AB,2024-10-07 15:47:22,3.0,True,Syrup,BioTech,North America,Vitamin
ABILIFY 10MG TAB.,3,AB,2024-10-07 15:47:22,3.0,True,Tablet,PharmaCorp,North America,Antibiotic
ABILIFY 10MG TAB.,3,AB,2024-10-07 15:47:22,3.0,True,Injection,BioTech,North America,Antifungal
ABILIFY 15MG 10 TAB.,2,AB,2024-10-07 15:47:22,2.0,True,Injection,CureWell,Europe,Vitamin
ABILIFY 15MG 10 TAB.,2,AB,2024-10-07 15:47:22,1.0,True,Ointment,PharmaCorp,Africa,Antifungal
